Customer_ID,Segment
CUST01001,STORE
CUST01002,STORE
CUST01003,STORE
CUST01004,STORE
CUST01005,STORE
CUST01006,STORE
CUST01007,STORE
CUST01008,STORE
CUST01009,STORE
CUST01010,STORE
CUST01011,STORE
CUST01012,STORE
CUST01013,STORE
CUST01014,STORE
CUST01015,STORE
CUST01016,STORE
CUST01017,STORE
CUST01018,STORE
CUST01019,STORE
CUST01020,STORE
CUST01021,STORE
CUST01022,STORE
CUST01023,STORE
CUST01024,STORE
CUST01025,STORE
CUST01026,INDIVIDUAL
CUST01027,INDIVIDUAL
CUST01028,STORE
CUST01029,INDIVIDUAL
CUST01030,INDIVIDUAL
CUST01031,INDIVIDUAL
CUST01032,INDIVIDUAL
CUST01033,INDIVIDUAL
CUST01034,INDIVIDUAL
CUST01035,INDIVIDUAL
CUST01036,STORE
CUST01037,INDIVIDUAL
CUST01038,INDIVIDUAL
CUST01039,INDIVIDUAL
CUST01040,INDIVIDUAL
CUST01041,INDIVIDUAL
CUST01042,INDIVIDUAL
CUST01043,INDIVIDUAL
CUST01044,INDIVIDUAL
CUST01045,INDIVIDUAL
CUST01046,INDIVIDUAL
CUST01047,INDIVIDUAL
CUST01048,INDIVIDUAL
CUST01049,INDIVIDUAL
CUST01050,INDIVIDUAL
CUST01051,INDIVIDUAL
CUST01052,INDIVIDUAL
CUST01053,INDIVIDUAL
CUST01054,INDIVIDUAL
CUST01055,INDIVIDUAL
CUST01056,INDIVIDUAL
CUST01057,INDIVIDUAL
CUST01058,INDIVIDUAL
CUST01059,INDIVIDUAL
CUST01060,INDIVIDUAL
CUST01061,INDIVIDUAL
CUST01062,INDIVIDUAL
CUST01063,INDIVIDUAL
CUST01064,INDIVIDUAL
CUST01065,INDIVIDUAL
CUST01066,INDIVIDUAL
CUST01067,INDIVIDUAL
CUST01068,INDIVIDUAL
CUST01069,INDIVIDUAL
CUST01070,INDIVIDUAL
CUST01071,INDIVIDUAL
CUST01072,INDIVIDUAL
CUST01073,INDIVIDUAL
CUST01074,INDIVIDUAL
CUST01075,INDIVIDUAL
CUST01076,INDIVIDUAL
CUST01077,INDIVIDUAL
CUST01078,INDIVIDUAL
CUST01079,INDIVIDUAL
CUST01080,INDIVIDUAL
CUST01081,INDIVIDUAL
CUST01082,INDIVIDUAL
CUST01083,INDIVIDUAL
CUST01084,INDIVIDUAL
CUST01085,INDIVIDUAL
CUST01086,INDIVIDUAL
CUST01087,INDIVIDUAL
CUST01088,INDIVIDUAL
CUST01089,INDIVIDUAL
CUST01090,INDIVIDUAL
CUST01091,INDIVIDUAL
CUST01092,INDIVIDUAL
CUST01093,INDIVIDUAL
CUST01094,INDIVIDUAL
CUST01095,INDIVIDUAL
CUST01096,INDIVIDUAL
CUST01097,INDIVIDUAL
CUST01098,INDIVIDUAL
CUST01099,INDIVIDUAL
CUST01100,INDIVIDUAL
CUST01101,INDIVIDUAL
CUST01102,INDIVIDUAL
CUST01103,INDIVIDUAL
CUST01104,INDIVIDUAL
CUST01105,INDIVIDUAL
CUST01106,INDIVIDUAL
CUST01107,INDIVIDUAL
CUST01108,INDIVIDUAL
CUST01109,INDIVIDUAL
CUST01110,INDIVIDUAL
CUST01111,INDIVIDUAL
CUST01112,INDIVIDUAL
CUST01113,INDIVIDUAL
CUST01114,INDIVIDUAL
CUST01115,INDIVIDUAL
CUST01116,INDIVIDUAL
CUST01117,INDIVIDUAL
CUST01118,INDIVIDUAL
CUST01119,INDIVIDUAL
CUST01120,INDIVIDUAL
CUST01121,INDIVIDUAL
CUST01122,INDIVIDUAL
CUST01123,INDIVIDUAL
CUST01124,INDIVIDUAL
CUST01125,INDIVIDUAL
CUST01126,INDIVIDUAL
CUST01127,INDIVIDUAL
CUST01128,INDIVIDUAL
CUST01130,INDIVIDUAL
CUST01131,INDIVIDUAL
CUST01132,INDIVIDUAL
CUST01133,INDIVIDUAL
CUST01134,INDIVIDUAL
CUST01135,INDIVIDUAL
CUST01136,INDIVIDUAL
CUST01137,INDIVIDUAL
CUST01138,INDIVIDUAL
CUST01139,INDIVIDUAL
CUST01140,INDIVIDUAL
CUST01141,INDIVIDUAL
CUST01144,INDIVIDUAL
CUST01147,INDIVIDUAL
CUST01148,INDIVIDUAL
CUST01149,INDIVIDUAL
CUST01151,INDIVIDUAL
CUST01152,INDIVIDUAL
CUST01153,INDIVIDUAL
CUST01154,INDIVIDUAL
CUST01155,INDIVIDUAL
CUST01156,INDIVIDUAL
CUST01157,INDIVIDUAL
CUST01158,INDIVIDUAL
CUST01159,INDIVIDUAL
CUST01160,INDIVIDUAL
CUST01161,INDIVIDUAL
CUST01162,INDIVIDUAL
CUST01163,INDIVIDUAL
CUST01164,INDIVIDUAL
CUST01166,INDIVIDUAL
CUST01167,INDIVIDUAL
CUST01168,INDIVIDUAL
CUST01170,INDIVIDUAL
CUST01171,INDIVIDUAL
CUST01172,INDIVIDUAL
CUST01173,INDIVIDUAL
CUST01174,INDIVIDUAL
