Order_ID,Order_Date,Customer_ID,Product,Category,Price,Quantity,Country,Payment_Method,Discount_Percent
ORD001222,2024-03-24,CUST01001,Monitor,Displays,508.44,2,USA,Unknown,0
ORD001488,2024-06-18,CUST01015,Headphones,Audio,93.35,2,France,PayPal,10
ORD002139,2024-06-29,CUST01003,Webcam,Video,122.58,3,Poland,Credit Card,0
ORD003371,2024-05-14,CUST01001,Headphones,Audio,95.8,2,UK,Credit Card,0
ORD006903,2024-03-14,CUST01062,Desk Lamp,Accessories,42.77,3,France,Unknown,0
ORD006371,2024-08-07,CUST01003,USB Hub,Peripherals,3.94,2,USA,Credit Card,15
ORD001278,2024-05-07,CUST01011,USB Hub,Peripherals,30.18,3,Germany,Credit Card,0
ORD001503,2024-12-14,CUST01033,Headphones,Audio,134.38,3,Germany,Debit Card,10
ORD007809,2024-11-26,CUST01004,Desk Lamp,Accessories,133.56,1,Netherlands,Credit Card,0
ORD001733,2024-10-07,CUST01070,Phone Stand,Accessories,99999.0,2,Poland,PayPal,0
ORD006557,2024-09-11,CUST01261,Desk Lamp,Accessories,48.51,2,Canada,Unknown,0
ORD007492,2024-10-31,CUST01001,Monitor,Displays,485.9,1,Poland,Bank Transfer,0
ORD004565,2024-10-04,CUST01001,Monitor,Displays,451.75,1,Poland,Bank Transfer,0
ORD005610,2024-03-11,CUST01008,Headphones,Audio,0.0,2,France,Unknown,0
ORD000683,2024-07-04,CUST01001,Monitor,Displays,479.92,3,Germany,Unknown,0
ORD001967,2024-04-04,CUST01001,Desk Lamp,Accessories,140.3,3,Germany,Unknown,0
ORD005756,2024-09-26,CUST01017,Mouse,Peripherals,57.72,4,USA,Bank Transfer,5
ORD004335,2024-08-02,CUST01014,USB Hub,Peripherals,20.73,4,USA,Credit Card,10
ORD002573,2024-07-02,CUST01001,Headphones,Audio,162.61,2,UK,Unknown,0
ORD000430,2024-01-30,CUST01222,Webcam,Video,117.11,2,UK,Unknown,0
ORD002570,2024-08-24,CUST01001,Phone Stand,Accessories,76.96,1,Germany,Unknown,10
ORD005554,2024-04-11,CUST01277,USB Hub,Peripherals,18.29,2,France,Debit Card,0
ORD002111,2024-10-20,CUST01093,Monitor,Displays,441.5,4,Netherlands,Unknown,0
ORD004867,2024-08-07,CUST01001,Phone Stand,Accessories,32.96,3,Netherlands,PayPal,5
ORD006443,2024-06-06,CUST01003,Desk Lamp,Accessories,99.71,2,Poland,Debit Card,0
ORD002128,2024-09-23,CUST01002,Headphones,Audio,121.67,1,Poland,Bank Transfer,0
ORD000473,2024-06-14,CUST01001,Desk Lamp,Accessories,66.75,3,Netherlands,Debit Card,0
ORD007879,2024-04-25,CUST01001,USB Hub,Peripherals,-10.53,4,Poland,Bank Transfer,0
ORD001594,2024-05-09,CUST01010,Keyboard,Peripherals,99999.0,4,Netherlands,PayPal,5
ORD002305,2024-12-28,CUST01151,Webcam,Video,40.3,1,France,Credit Card,0
ORD006223,2024-07-21,CUST01008,Monitor,Displays,451.51,1,UK,Debit Card,5
ORD004865,2024-04-19,CUST01002,Mouse,Peripherals,103.62,4,USA,Credit Card,10
ORD002866,2024-06-22,CUST01003,Mouse,Peripherals,64.0,4,USA,Debit Card,0
ORD000997,2024-09-09,CUST01001,Monitor,Displays,525.63,4,USA,Unknown,5
ORD007914,2024-01-30,CUST01002,Webcam,Video,80.38,2,Netherlands,Credit Card,0
ORD004308,2024-01-15,CUST01003,Headphones,Audio,114.98,1,France,PayPal,0
ORD007000,2024-03-17,CUST01001,HDMI Cable,Cables,30.48,3,Canada,PayPal,0
ORD001859,2024-02-18,CUST01001,HDMI Cable,Cables,-6.58,1,France,Unknown,10
ORD006935,2024-07-25,CUST01001,Laptop,Computers,1019.75,2,Germany,Credit Card,5
ORD000320,2024-03-31,CUST01001,Keyboard,Peripherals,144.61,2,Poland,PayPal,5
ORD004710,2024-12-02,CUST01001,Headphones,Audio,88.1,3,France,Credit Card,0
ORD007280,2024-11-03,CUST01300,Mouse,Peripherals,12.71,3,Netherlands,Unknown,0
ORD004270,2024-05-22,CUST01005,Webcam,Video,117.43,1,Netherlands,Credit Card,15
